id,label,org
2070965055,Eran Toch,department of industrial engineering
2068795980,Irad E. Ben-Gal,department of industrial engineering
2020621672,Nicholas Bambos,"stanford university, stanford, ca, 94305, usa"
2044560324,Alon Sela,department of industrial engineering
2173709915,Eugene Kagan,department of industrial engineering
2132927693,David Lo,"singapore management, university"
2229613137,Nimrod Busany,school of computer science
2230488151,Lingfeng Bao,zhejiang university city college
2010852767,Jan Oliver Ringert,"university of leicester (leicester, uk)"
2307885315,Shahar Maoz,school of computer science
2553854373,Or Pistiner,school of computer science
2108338047,Debin Gao,"singapore management, university"
2167586149,Xin Xia,"faculty of information technology, #r##n#monash university"
2225180883,Zhiyuan Wan,"college of computer science and technology, zhejiang university,"
2106697682,Ohad Inbar,department of industrial engineering
2129118901,Joachim Meyer,department of industrial engineering
2169236860,Bo An,"school of computer science & engg., nanyang technological university, singapore"
2788130130,Xinrun Wang,"school of computer science & engg., nanyang technological university, singapore"
1968136432,Tal Raviv,department of industrial engineering
2949835831,Elad Sadan,department of industrial engineering
2152077034,Goren Gordon,department of industrial engineering
103913800,Rinat Rosenberg-Kima,"faculty of education in science and technology, technion – israel institute of technology"
2500606731,Maya Yachini,school of education
1901814250,Eugene Khmelnitsky,department of industrial engineering
1684417539,Michal Tzur,department of industrial engineering
2154571594,Erez Shmueli,department of industrial engineering
281847691,Noam Koenigstein,department of industrial engineering
2588517499,Tamir Mendel,department of industrial engineering
2922235978,Shai Yona,"department of industrial engineering, ariel university, ariel and israel, --- select a country ---"
2992510390,Orit Milo,
2793294236,Shimon Ben-Ishay,department of industrial engineering
2114060065,G. Singer,"department of industrial engineering, afeka-tel aviv academic college of engineering, tel-aviv, israel"
2116269587,Boaz Lerner,ben-gurion university of the negev
2321244423,Evgeni Khmelnitsky,
2795020054,Eyal Ben-Zion,ben-gurion university of the negev
2911987276,Tal Geller,
2912595712,Yair Bar David,
2954404830,Yuval Shalev,department of industrial engineering
2964285924,Daniel Miller,
2969319619,Shahar Weinstock,"tel‐aviv university ,"
2984182031,Andrew Ward,"stanford university, stanford, ca, 94305, usa"
2769654274,Elizabeth Firman,school of computer science
2973505757,Gal Amram,school of computer science
2767823913,Rafi Shalom,"tel‐aviv university ,"
2981053233,Jan Oliver Ringert,#n##tab##tab##tab##tab# university of leicester#n##tab##tab##tab#
2998807896,Yehonatan Yulazari,school of computer science
2150061830,Oshrat Ayalon,"tel‐aviv university ,"
2982013605,Yoav Ben Yaakov,department of industrial engineering
2789623484,Shiri Bar-Or,"department of industrial engineering and management, ben-gurion, university of the negev, beer sheva, israel"
2805566891,Yefim Shulman,
2950830240,Ido Orenstein,department of industrial engineering
2914797203,Michal Moran,department of industrial engineering
2934730183,Yaacov Koren,department of sociology and anthropology
2623395849,Yigal Gerchak,department of industrial engineering
2898344771,Ohad Eisenhandler,department of industrial engineering
2917157199,Lihi Dery,"department of industrial engineering & management, ariel university, ariel, israel"
2953215802,Havi Werbin-Ofir,department of industrial engineering & management ariel university ariel israel
2298091499,Nir Nice,"microsoft r&d, israel#tab#"
2538123976,Oren Barkan,microsoft israel
2585999609,Hilik Berezin,"microsoft r&d, israel#tab#"
2617870045,Ori Katz,"microsoft, israel and technion, israel#tab#"
2629423846,Eylon Yogev,microsoft israel
2798452369,Liron Allerhand,"microsoft r&d, israel#tab#"
2972483764,Gal Lavee,"ebay research, israel#tab#"
2972657032,Adi Makmal,"microsoft r&d, israel and jonathan ephrath microsoft r&d, israel"
2978800533,Jonathan Ephrath,"microsoft r&d, israel#tab#"
