Target,Source,weight
9985198,9988965,4
9985198,1113808300,3
1113808300,2137297654,1
1967999909,2137297654,4
2031692738,2137297654,1
2137297654,2293464269,1
2137297654,2523407370,1
2137297654,2741428272,2
2137297654,2912465171,2
2137297654,2913957346,2
2137297654,2949385226,1
9985198,2025610251,1
2025610251,2230954642,1
1093317426,2230954642,1
2222246929,2230954642,1
2222246929,2538031590,1
2230954642,2659472065,1
2230954642,2721147150,1
2230954642,2890645745,1
2230954642,2944675959,1
2230954642,2976423939,1
2230954642,2977206309,1
9985198,2101516921,1
9985198,2680435554,2
9985198,2791543139,2
9985198,2792810102,2
564112320,2792810102,1
564112320,2023985210,1
2005450025,2023985210,3
2023985210,2912183274,2
564112320,2104333588,1
2104333588,2230089554,1
564112320,2954344482,1
9985198,2917724466,2
9985198,3002418383,1
9988965,53636449,1
9988965,258463261,4
9988965,601642093,1
9988965,1974373583,1
9988965,2022952815,1
9988965,2099516509,3
9988965,2100045699,3
9988965,2125685496,2
2125685496,2961594172,1
2961594172,2962584599,1
9988965,2127488609,1
9988965,2130270706,1
9988965,2135188225,2
9988965,2142962604,1
9988965,2152875577,2
9988965,2154871272,1
9988965,2164878939,4
9988965,2166341251,1
9988965,2204493835,1
9988965,2225268576,1
9988965,2262102887,1
9988965,2315610610,5
9988965,2437793022,1
9988965,2569605330,1
9988965,2605006710,1
9988965,2739422248,2
9988965,2785286102,1
9988965,2795466576,1
9988965,2802213485,2
9988965,2810080957,1
9988965,2883592884,1
9988965,2883724712,1
9988965,2886985170,1
9988965,2895542378,1
9988965,2900989429,1
9988965,2901340730,1
9988965,2902733638,1
9988965,2902763530,1
9988965,2904044493,2
9988965,2919337845,1
9988965,2943169247,1
9988965,2944213558,1
9988965,2956551780,1
9988965,2960693817,1
9988965,2963223574,1
40891565,580757126,1
40891565,422218349,1
422218349,2078969743,1
422218349,2138961986,1
422218349,2156977226,1
422218349,2229591546,1
422218349,2231578346,1
422218349,2246577087,1
422218349,2529868542,1
2529868542,2977747883,2
2069021116,2977747883,2
2677051520,2977747883,2
2977747883,2978021261,2
2977747883,2978181476,2
2977747883,2978189742,2
2977747883,2978707495,2
422218349,2797535001,1
422218349,2797841547,1
422218349,2802089189,1
164040429,580757126,1
580757126,883760791,1
580757126,1830069584,1
580757126,1993479862,1
580757126,2034733332,1
580757126,2100001797,1
580757126,2105735072,1
580757126,2129934641,1
580757126,2151691861,1
580757126,2206425181,1
580757126,2219750128,1
580757126,2235882544,1
580757126,2310683721,1
580757126,2436975252,1
580757126,2483063590,1
580757126,2521853949,1
580757126,2553619856,1
580757126,2563600670,1
580757126,2568826499,1
580757126,2615478169,1
580757126,2737509324,1
580757126,2790542394,1
129455149,2790542394,1
129455149,2112123438,1
2112123438,2932384827,1
2114160999,2932384827,1
2549101754,2932384827,1
580757126,2900791820,1
580757126,2952729207,1
42694500,2294996757,1
42694500,2918170205,1
231801982,2918170205,1
2918170205,2920479783,1
78491637,2294996757,3
128735845,2294996757,1
229602058,2294996757,2
229602058,2154115838,2
263436134,2154115838,1
715859397,2154115838,1
2028407875,2154115838,1
2028407875,2130285077,1
253853005,2130285077,1
275298671,2130285077,1
1482503791,2130285077,2
1908865110,2130285077,1
1996972890,2130285077,1
2128565744,2130285077,1
2130285077,2171412814,1
2130285077,2779427059,2
2130285077,2915646982,1
2130285077,2950544239,1
2130285077,2973561348,1
2066665679,2154115838,1
2154115838,2168753522,1
2154115838,2690013054,2
2154115838,2776164831,1
2154115838,2946172136,1
2154115838,2951948510,2
2154115838,2953390881,1
340644367,2294996757,2
340644367,2078633956,2
80354510,2078633956,1
80354510,1484279603,2
86633810,1484279603,1
246708073,1484279603,2
1484279603,1983463915,1
1484279603,1983463915,1
1484279603,2076066329,1
1484279603,2080327427,2
1484279603,2174985400,1
1484279603,2478118378,1
1484279603,2678800100,1
1484279603,2786453042,1
1484279603,2884581087,1
1484279603,2886161848,1
1484279603,2897093679,2
1484279603,2902853422,1
1484279603,2903157263,1
1484279603,2917746027,2
1484279603,2952454007,2
1484279603,2976542183,1
221941351,2078633956,1
221941351,341823498,2
231947972,341823498,2
275702495,341823498,1
341823498,2742892825,1
341823498,2743960674,1
341823498,2763959662,1
341823498,2769156472,1
341823498,2967700546,1
341823498,2968900388,1
259249205,2078633956,1
839208152,2078633956,2
222220925,839208152,1
230026076,839208152,1
230026076,1252131916,1
839208152,2035696300,1
2035696300,2112574952,1
839208152,2114289750,1
1534604502,2114289750,1
839208152,2114518581,2
839208152,2139423477,1
839208152,2537308456,1
1874579918,2078633956,2
1979262825,2078633956,2
2078633956,2117105010,1
2078633956,2129072251,1
2078633956,2625378157,2
2078633956,2895771915,1
2078633956,2896050041,2
2078633956,2896164355,1
2078633956,2946383357,3
2078633956,2953605258,2
1857373744,2294996757,1
