Source,Target,Type,Id,Label,timeset,Weight
9988965,9985198,Undirected,0,,,4
1113808300,9985198,Undirected,1,,,3
2137297654,1113808300,Undirected,2,,,1
2137297654,1967999909,Undirected,3,,,4
2137297654,2031692738,Undirected,4,,,1
2293464269,2137297654,Undirected,5,,,1
2523407370,2137297654,Undirected,6,,,1
2741428272,2137297654,Undirected,7,,,2
2912465171,2137297654,Undirected,8,,,2
2913957346,2137297654,Undirected,9,,,2
2949385226,2137297654,Undirected,10,,,1
2025610251,9985198,Undirected,11,,,1
2230954642,2025610251,Undirected,12,,,1
2230954642,1093317426,Undirected,13,,,1
2230954642,2222246929,Undirected,14,,,1
2538031590,2222246929,Undirected,15,,,1
2659472065,2230954642,Undirected,16,,,1
2721147150,2230954642,Undirected,17,,,1
2890645745,2230954642,Undirected,18,,,1
2944675959,2230954642,Undirected,19,,,1
2976423939,2230954642,Undirected,20,,,1
2977206309,2230954642,Undirected,21,,,1
2101516921,9985198,Undirected,22,,,1
2680435554,9985198,Undirected,23,,,2
2791543139,9985198,Undirected,24,,,2
2792810102,9985198,Undirected,25,,,2
2792810102,564112320,Undirected,26,,,1
2023985210,564112320,Undirected,27,,,1
2023985210,2005450025,Undirected,28,,,3
2912183274,2023985210,Undirected,29,,,2
2104333588,564112320,Undirected,30,,,1
2230089554,2104333588,Undirected,31,,,1
2954344482,564112320,Undirected,32,,,1
2917724466,9985198,Undirected,33,,,2
3002418383,9985198,Undirected,34,,,1
53636449,9988965,Undirected,35,,,1
258463261,9988965,Undirected,36,,,4
601642093,9988965,Undirected,37,,,1
1974373583,9988965,Undirected,38,,,1
2022952815,9988965,Undirected,39,,,1
2099516509,9988965,Undirected,40,,,3
2100045699,9988965,Undirected,41,,,3
2125685496,9988965,Undirected,42,,,2
2961594172,2125685496,Undirected,43,,,1
2962584599,2961594172,Undirected,44,,,1
2127488609,9988965,Undirected,45,,,1
2130270706,9988965,Undirected,46,,,1
2135188225,9988965,Undirected,47,,,2
2142962604,9988965,Undirected,48,,,1
2152875577,9988965,Undirected,49,,,2
2154871272,9988965,Undirected,50,,,1
2164878939,9988965,Undirected,51,,,4
2166341251,9988965,Undirected,52,,,1
2204493835,9988965,Undirected,53,,,1
2225268576,9988965,Undirected,54,,,1
2262102887,9988965,Undirected,55,,,1
2315610610,9988965,Undirected,56,,,5
2437793022,9988965,Undirected,57,,,1
2569605330,9988965,Undirected,58,,,1
2605006710,9988965,Undirected,59,,,1
2739422248,9988965,Undirected,60,,,2
2785286102,9988965,Undirected,61,,,1
2795466576,9988965,Undirected,62,,,1
2802213485,9988965,Undirected,63,,,2
2810080957,9988965,Undirected,64,,,1
2883592884,9988965,Undirected,65,,,1
2883724712,9988965,Undirected,66,,,1
2886985170,9988965,Undirected,67,,,1
2895542378,9988965,Undirected,68,,,1
2900989429,9988965,Undirected,69,,,1
2901340730,9988965,Undirected,70,,,1
2902733638,9988965,Undirected,71,,,1
2902763530,9988965,Undirected,72,,,1
2904044493,9988965,Undirected,73,,,2
2919337845,9988965,Undirected,74,,,1
2943169247,9988965,Undirected,75,,,1
2944213558,9988965,Undirected,76,,,1
2956551780,9988965,Undirected,77,,,1
2960693817,9988965,Undirected,78,,,1
2963223574,9988965,Undirected,79,,,1
580757126,40891565,Undirected,80,,,1
422218349,40891565,Undirected,81,,,1
2078969743,422218349,Undirected,82,,,1
2138961986,422218349,Undirected,83,,,1
2156977226,422218349,Undirected,84,,,1
2229591546,422218349,Undirected,85,,,1
2231578346,422218349,Undirected,86,,,1
2246577087,422218349,Undirected,87,,,1
2529868542,422218349,Undirected,88,,,1
2977747883,2529868542,Undirected,89,,,2
2977747883,2069021116,Undirected,90,,,2
2977747883,2677051520,Undirected,91,,,2
2978021261,2977747883,Undirected,92,,,2
2978181476,2977747883,Undirected,93,,,2
2978189742,2977747883,Undirected,94,,,2
2978707495,2977747883,Undirected,95,,,2
2797535001,422218349,Undirected,96,,,1
2797841547,422218349,Undirected,97,,,1
2802089189,422218349,Undirected,98,,,1
580757126,164040429,Undirected,99,,,1
883760791,580757126,Undirected,100,,,1
1830069584,580757126,Undirected,101,,,1
1993479862,580757126,Undirected,102,,,1
2034733332,580757126,Undirected,103,,,1
2100001797,580757126,Undirected,104,,,1
2105735072,580757126,Undirected,105,,,1
2129934641,580757126,Undirected,106,,,1
2151691861,580757126,Undirected,107,,,1
2206425181,580757126,Undirected,108,,,1
2219750128,580757126,Undirected,109,,,1
2235882544,580757126,Undirected,110,,,1
2310683721,580757126,Undirected,111,,,1
2436975252,580757126,Undirected,112,,,1
2483063590,580757126,Undirected,113,,,1
2521853949,580757126,Undirected,114,,,1
2553619856,580757126,Undirected,115,,,1
2563600670,580757126,Undirected,116,,,1
2568826499,580757126,Undirected,117,,,1
2615478169,580757126,Undirected,118,,,1
2737509324,580757126,Undirected,119,,,1
2790542394,580757126,Undirected,120,,,1
2790542394,129455149,Undirected,121,,,1
2112123438,129455149,Undirected,122,,,1
2932384827,2112123438,Undirected,123,,,1
2932384827,2114160999,Undirected,124,,,1
2932384827,2549101754,Undirected,125,,,1
2900791820,580757126,Undirected,126,,,1
2952729207,580757126,Undirected,127,,,1
2294996757,42694500,Undirected,128,,,1
2918170205,42694500,Undirected,129,,,1
2918170205,231801982,Undirected,130,,,1
2920479783,2918170205,Undirected,131,,,1
2294996757,78491637,Undirected,132,,,3
2294996757,128735845,Undirected,133,,,1
2294996757,229602058,Undirected,134,,,2
2154115838,229602058,Undirected,135,,,2
2154115838,263436134,Undirected,136,,,1
2154115838,715859397,Undirected,137,,,1
2154115838,2028407875,Undirected,138,,,1
2130285077,2028407875,Undirected,139,,,1
2130285077,253853005,Undirected,140,,,1
2130285077,275298671,Undirected,141,,,1
2130285077,1482503791,Undirected,142,,,2
2130285077,1908865110,Undirected,143,,,1
2130285077,1996972890,Undirected,144,,,1
2130285077,2128565744,Undirected,145,,,1
2171412814,2130285077,Undirected,146,,,1
2779427059,2130285077,Undirected,147,,,2
2915646982,2130285077,Undirected,148,,,1
2950544239,2130285077,Undirected,149,,,1
2973561348,2130285077,Undirected,150,,,1
2154115838,2066665679,Undirected,151,,,1
2168753522,2154115838,Undirected,152,,,1
2690013054,2154115838,Undirected,153,,,2
2776164831,2154115838,Undirected,154,,,1
2946172136,2154115838,Undirected,155,,,1
2951948510,2154115838,Undirected,156,,,2
2953390881,2154115838,Undirected,157,,,1
2294996757,340644367,Undirected,158,,,2
2078633956,340644367,Undirected,159,,,2
2078633956,80354510,Undirected,160,,,1
1484279603,80354510,Undirected,161,,,2
1484279603,86633810,Undirected,162,,,1
1484279603,246708073,Undirected,163,,,2
1983463915,1484279603,Undirected,164,,,2
2076066329,1484279603,Undirected,166,,,1
2080327427,1484279603,Undirected,167,,,2
2174985400,1484279603,Undirected,168,,,1
2478118378,1484279603,Undirected,169,,,1
2678800100,1484279603,Undirected,170,,,1
2786453042,1484279603,Undirected,171,,,1
2884581087,1484279603,Undirected,172,,,1
2886161848,1484279603,Undirected,173,,,1
2897093679,1484279603,Undirected,174,,,2
2902853422,1484279603,Undirected,175,,,1
2903157263,1484279603,Undirected,176,,,1
2917746027,1484279603,Undirected,177,,,2
2952454007,1484279603,Undirected,178,,,2
2976542183,1484279603,Undirected,179,,,1
2078633956,221941351,Undirected,180,,,1
341823498,221941351,Undirected,181,,,2
341823498,231947972,Undirected,182,,,2
341823498,275702495,Undirected,183,,,1
2742892825,341823498,Undirected,184,,,1
2743960674,341823498,Undirected,185,,,1
2763959662,341823498,Undirected,186,,,1
2769156472,341823498,Undirected,187,,,1
2967700546,341823498,Undirected,188,,,1
2968900388,341823498,Undirected,189,,,1
2078633956,259249205,Undirected,190,,,1
2078633956,839208152,Undirected,191,,,2
839208152,222220925,Undirected,192,,,1
839208152,230026076,Undirected,193,,,1
1252131916,230026076,Undirected,194,,,1
2035696300,839208152,Undirected,195,,,1
2112574952,2035696300,Undirected,196,,,1
2114289750,839208152,Undirected,197,,,1
2114289750,1534604502,Undirected,198,,,1
2114518581,839208152,Undirected,199,,,2
2139423477,839208152,Undirected,200,,,1
2537308456,839208152,Undirected,201,,,1
2078633956,1874579918,Undirected,202,,,2
2078633956,1979262825,Undirected,203,,,2
2117105010,2078633956,Undirected,204,,,1
2129072251,2078633956,Undirected,205,,,1
2625378157,2078633956,Undirected,206,,,2
