id,label,org
9985198,Raja Giryes,department of electrical engineering
1113808300,Joseph Shtok,
1967999909,Alexander M. Bronstein,"department of computer science, technion—israel institute of technology, haifa, israel#tab#"
2031692738,Rogerio Schmidt Feris,"ibm research, yorktown heights , ny, usa#tab#"
2137297654,Eli Schwartz,department of electrical engineering
2025610251,Shachar Fleishman,intel corporation
1093317426,Joel Lanir,"university of haifa, abba khoushy ave 199, haifa, 3498838, israel"
2222246929,Shachar Fleishman,"amazon,"
2230954642,Noa Fish,school of computer science
564112320,Hadar Averbuch-Elor,department of electrical engineering
2005450025,Hayit Greenspan,faculty of engineering
2023985210,Jacob Goldberger,"faculty of engineering, bar ilan university, ramat gan, israel;"
2104333588,Ohad Fried,"stanford university, stanford, usa"
9988965,Daniel Cohen-Or,school of computer science
2125685496,Ariel Shamir,"the interdisciplinary center herzliya, israel"
2961594172,Yael Newman,department of electrical engineering
40891565,Nathan Intrator,school of neuroscience
422218349,Jacob Ablin,school of medicine
2529868542,Noam Goldway,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel aviv, israel"
2069021116,Gal Raz,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel aviv, israel"
2677051520,Guy Gurevitch,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel-aviv, israel"
2977747883,Tom Vaknin,school of neuroscience
164040429,A. Villringer,"department of neurology, max planck institute for human cognitive and brain sciences"
580757126,Talma Hendler,school of psychological sciences
129455149,Doron Gothelf,school of medicine
2112123438,Elisha Moses,"dept. of physics of complex systems, weizmann institute of science, rehovot, israel"
2114160999,Jodie Naim-Feil,"asagol center for brain and mind, interdisciplinary center herzliya, israel"
2549101754,Mica Rubinson,"dept. of physics of complex systems, weizmann institute of science, rehovot, israel"
42694500,Yossi Kanizo,"tel hai college , israel"
231801982,Ori Rottenstreich,"technion, israel"
2918170205,Yaniv Sadeh,school of computer science
78491637,Uri Zwick,"tel‐aviv university ,"
128735845,Stephen Alstrup,"university of copenhagen , copenhagen , denmark."
229602058,Bernhard Zeisl,google
263436134,Liam Roditty,"dept. of comput. sci., bar-ilan univ., ramat gan, israel"
715859397,Paul Seiferth,"institut für informatik, freie universität berlin, berlin, germany"
2028407875,Wolfgang Mulzer,"institut für informatik, freie universität berlin, berlin, germany"
253853005,Michal Kleinbort,school of computer science
275298671,Zakary Littlefield,"computer science dept., rutgers university, new brunswick, nj, usa"
1482503791,Kiril Solovey,"stanford university stanford, ca, usa#tab#"
1908865110,Aviv Tamar,"univ. of california berkeley, berkeley, ca, usa"
1996972890,Rahul Shome,"computer science dept., rutgers university, new brunswick, nj, usa"
2128565744,Pankaj K Agarwal,"computational biology, gsk r&d, collegeville, usa"
2130285077,Dan Halperin,school of computer science
2066665679,Esther Ezra,"school of mathematics, georgia institute of technology, atlanta, georgia"
2154115838,Micha Sharir,school of computer science
340644367,Avinatan Hassidim,google
80354510,Amit Daniely,"google research,"
86633810,Jonathan Berant,"university of utah ,"
246708073,Gal Elidan,"department of statistics, hebrew university of jerusalem, jerusalem, israel#tab#"
1484279603,Amir Globerson,school of computer science
221941351,Moshe Sulamy,
231947972,Anat Bremler-Barr,"efi arazi school of computer science, interdisciplinary center herzliya, herzliya, israel"
275702495,Shir Landau Feibish,princeton university;
341823498,Yehuda Afek,school of computer science
259249205,Nicolò Cesa-Bianchi,milan university
839208152,Roi Livni,department of electrical engineering
222220925,Adam Tauman Kalai,"microsoft research, cambridge, ma, usa#tab#"
230026076,Amir Yehudayoff,technion: israel institute of technology
2035696300,Maryanthe Malliaris,"department of mathematics, university of chicago, 5734 s. university avenue, chicago, il 60637, usa"
1534604502,Ronitt Rubinfeld,Massachusetts Institute of Technology
1874579918,Yossi Matias,google
1979262825,Uri Stemmer,"ben gurion university , beer sheva , israel"
2078633956,Yishay Mansour,school of computer science
1857373744,Mikkel Thorup,university of copenhagen
2167811012,Edith Cohen,google
2198148421,Danny Raz,"computer science department, technion, israel#tab#"
2200059197,Or Zamir,"tel‐aviv university ,"
2294996757,Haim Kaplan,school of computer science
179345590,Dovi Poznanski,school of physics and astronomy
2765164329,Itamar Reis,school of physics and astronomy
1908891881,Pablo Blinder,
2023078892,Yaniv Taigman,(facebook)
2059111593,Lior Wolf,school of computer science
1156855084,Zvi Retchkiman Königsberg,"instituto politécnico nacional, cic, mexico city, mexico"
1971792425,Jean-Pierre Jouannaud,"lix & deducteam11http://deducteam.gforge.inria.fr., école polytechnique, palaiseau, france"
2122566196,Nachum Dershowitz,school of computer science
2632233577,Orna Almogi,"asia-africa-institute, university of hamburg"
2776385686,Eric Werner,"asia-africa-institute, university of hamburg"
2791690580,Dorji Wangchuk,"asia-africa-institute, university of hamburg"
2142241828,Tamir Hazan,technion: israel institute of technology
2566053256,Tomer Galanti,school of computer science
91343107,Noam Rinetzky,"tel‐aviv university ,"
69314847,Abdussalam Alawini,university of illinois urbana-champaign
234107462,Yael Amsterdamer,bar‐ilan university ramat‐gan israel
1983463915,Tova Milo,school of computer science
2039937633,Pierre Senellart,"di ens, ens, cnrs, psl university 8 inria 8 ltci, télécom paris, ip paris, france"
2076066329,Daniel Deutch,school of computer science
131349027,Leonid Ryzhyk,(vmware)
172841154,Nina Narodytska,(vmware research)
719828399,Scott Shenker,"uc berkeley, icsi#tab#"
1994740773,Shachar Itzhaky,"technion , haifa, israel"
2036035498,Neil Immerman,
2224265930,James R. Wilcox,university of washington seattle usa
2229511016,Oded Padon,"stanford university, stanford, usa"
2096398445,Alexander Rabinovich,"tel‐aviv university ,"
2132478116,Aurojit Panda,new-york university >  >  >  >
2144636783,Sharon Shoham,school of computer science
2397876722,Arie Gurfinkel,university of waterloo canada#tab#
2419726939,Yakir Vizel,"technion , haifa, israel"
1345056057,Mooly Sagiv,school of computer science
2293464269,Sivan Harary,
2523407370,Leonid Karlinsky,"ibm research - haifa, israel"
2741428272,Chaim Baskin,
2912465171,Dean Zadok,"computer science department, technion, haifa and israel, --- select a country ---"
2913957346,Nir Diamant,
2949385226,Amit Aides,
2538031590,Rana Hanocka,school of computer science
2659472065,Zhenhua Wang,hebrew university
2721147150,Min Lu,
2890645745,Amir Hertz,"tel‐aviv university ,"
2944675959,Hui Huang,"visual computing research center, shenzhen university, shenzhen, china"
2976423939,Yang Yue,
2977206309,Shuaiqi Wang,
2101516921,Miguel R. D. Rodrigues,"department of electronic and electrical engineering, university college london, london united kingdom of great britain and northern ireland wc1e 7je (e-mail: m.rodrigues@ucl.ac.uk)"
2680435554,Tom Tirer,department of electrical engineering
2791543139,Daniel Jakubovitz,"tel‐aviv university ,"
2792810102,Sharon Fogel,"tel‐aviv university ,"
2912183274,Eytan Kats,department of biomedical engineering
2230089554,Dov Danon,school of computer science
2954344482,Nadav Bar,school of computer science
2917724466,Amit Alfassy,
3002418383,Miguel R. D. Rodrigues,
53636449,Olga Sorkine-Hornung,eth‐zurich switzerland
258463261,Dani Lischinski,hebrew university of jerusalem
601642093,Jessica K. Hodgins,"carnegie-mellon univ., pittsburgh, pa, usa"
1974373583,Oliver Van Kaick,carleton university.
2022952815,Yiorgos Chrysanthou,"university of cyprus and rise research center, nicosia, cyprus"
2099516509,Kangxue Yin,simon  fraser university
2100045699,Di Lin,shenzhen university
2962584599,Jordan Yaniv,department of electrical engineering
2127488609,Edmond S. L. Ho,"northumbria, university"
2130270706,Shihao Wu,eth‐zurich switzerland
2135188225,Chi‐Wing Fu,chinese university hong kong
2142962604,Siddhartha Chaudhuri,adobe research and iit bombay
2152875577,Ruizhen Hu,shenzhen university
2154871272,Changhe Tu,"shandong university, qingdao, china"
2164878939,Baoquan Chen,peking university
2166341251,Pheng-Ann Heng,chinese university of hong kong.
2204493835,Taku Komura,"school of informatics, the university of edinburgh, edinburgh, u.k."
2225268576,Xuelin Chen,shandong university
2262102887,Andreas Aristidou,department of computer scienceuniversity of cyprus and rise research center nicosia cyprus
2315610610,Hao Zhang,simon  fraser university
2437793022,Jing Liao,city university of hong kong
2569605330,Honghua Li,alibaba ai labs#tab#
2605006710,Mingyi Shi,shandong university
2739422248,Kfir Aberman,"aicfve, beijing film academy"
2785286102,Xianzhi Li,the chinese univ. of hong kong
2795466576,Yifan Wang,eth‐zurich switzerland
2802213485,Hao Wang,shenzhen university
2810080957,Manyi Li,"shandong university and simon fraser university, qingdao, china#tab#"
2883592884,Owais Khan,"iit bombay, mumbai, india"
2883724712,Akshay Gadi Patil,simon  fraser university
2886985170,Xiang Wang,shenzhen university
2895542378,Yuanfeng Ji,"college of computer science and software engineering, shenzhen university, shenzhen 518060, china."
2900989429,Zhijie Wu,shenzhen university
2901340730,Nadav Schor,"tel‐aviv university ,"
2902733638,Luanmin Chen,shenzhen university
2902763530,Cheng Wen,shenzhen university
2904044493,Zhiqin Chen,simon  fraser university
2919337845,Haibin Huang,megvii / face++ research#tab#
2943169247,Rundi Wu,peking university
2944213558,Kai Xu,"national university of defense technology changsha, china"
2956551780,Dingguo Shen,
2960693817,Siting Shen,
2963223574,Ruihui Li,the chinese univ. of hong kong
2078969743,Haggai Sharon,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel-aviv, israel"
2138961986,Marc Cavazza,"nat. inst. of informatics, tokyo, japan"
2156977226,Eti Ben-Simon,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel aviv, israel"
2229591546,Jackob Nimrod Keynan,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel-aviv, israel"
2231578346,Ayelet Or-Borichev,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel-aviv, israel"
2246577087,Fred Charles,"bournemouth univ., bournemouth, united kingdom"
2978021261,Iddo Gefen,tel aviv university
2978181476,Gal Azouri,school of neuroscience
2978189742,Araz Aazamy,"faculty of medical sciences, radboud university, nijmegen, the netherlands"
2978707495,Stanislaw Grunstein,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel aviv, israel"
2797535001,Yoav Zamir,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel aviv, israel"
2797841547,Omer Lubin,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel aviv, israel"
2802089189,Silviu Brill,"sackler school of medicine, tel‐aviv university, tel aviv, israel"
883760791,Dominik Freche,"asagol center for brain and mind, interdisciplinary center herzliya, israel"
1830069584,Kathrin Cohen Kadosh,"school of psychology, university of surrey, guildford, gu2 7xh, uk"
1993479862,M. Uhlig,"dept of neurology, max planck institute for human cognitive and brain sciences, leipzig, germany"
2034733332,Catharina Zich,"department of experimental psychology, university of oxford, oxford, ox1 3ud, uk"
2100001797,David E. J. Linden,"mrc centre for neuropsychiatric genetics and genomics, division of psychological medicine and clinical neurosciences, school of medicine, cardiff university, cardiff, cf24 4hq, united kingdom"
2105735072,Andreas Keil,"center for the study of emotion and attention, university of florida; gainesville fl usa"
2129934641,Karsten Müller,department of neurology max planck institute for human cognitive and brain sciences leipzig germany
2151691861,Christian Paret,"sagol brain institute, wohl institute for advanced imaging, tel-aviv sourasky medical centre, tel-aviv, israel"
2206425181,J. Reinelt,department of neurology max planck institute for human cognitive and brain sciences leipzig germany
2219750128,A. Babayan,department of neurology max planck institute for human cognitive and brain sciences leipzig germany
2235882544,M. Gaebler,"department of neurology, max-planck institute for human cognitive and brain sciences, leipzig, germany;"
2310683721,Juergen Kratzsch,"institute for laboratory medicine, clinical chemistry and molecular diagnostics (ilm) of the medical faculty at the university of leipzig, leipzig, germany"
2436975252,M. Erbey,"mindbrainbody institute at the berlin school of mind and brain, humboldt-universitaet zu berlin, berlin, germany"
2483063590,A. Reiter,"department of neurology, max planck institute for human cognitive and brain sciences leipzig, germany"
2521853949,Mark E. Lauckner,"dept. of neurology, max planck institute for human cognitive and brain sciences, leipzig, germany"
2553619856,D. Kumral,"department of neurology, max-planck institute for human cognitive and brain sciences, leipzig, germany;"
2563600670,J. Roebbig,department of neurology max planck institute for human cognitive and brain sciences leipzig germany
2568826499,Blazej M. Baczkowski,institute of psychology; university of leipzig; leipzig germany
2615478169,Joachim Thiery,"institute for laboratory medicine, clinical chemistry and molecular diagnostics (ilm) of the medical faculty at the university of leipzig, leipzig, germany"
2737509324,H. Lina Schaare,"dept of neurology, max planck institute for human cognitive and brain sciences, leipzig, germany"
2790542394,Nava Levit-Binnun,"asagol center for brain and mind, interdisciplinary center herzliya, israel"
