Id,Label,timeset,org,Degree,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
9988965,Daniel Cohen-Or,,school of computer science,44,3,0.066865,5,0.470588,0.692292,2562
9985198,Raja Giryes,,department of electrical engineering,9,2,0.013036,4,0.441989,0.498958,1997
1113808300,Joseph Shtok,,ibm research,2,2,0.003087,5,0.330579,0.3625,639
2137297654,Eli Schwartz,,department of electrical engineering,9,0,0.014422,6,0.262295,0.333125,604
1967999909,Alexander M. Bronstein,,technion,1,0,0.001856,7,0.208333,0.238095,0
2031692738,Rogerio Schmidt Feris,,ibm research,1,0,0.001856,7,0.208333,0.238095,0
2293464269,Sivan Harary,,ibm research,1,0,0.001856,7,0.208333,0.238095,0
2523407370,Leonid Karlinsky,,ibm research,1,0,0.001856,7,0.208333,0.238095,0
2741428272,Chaim Baskin,,technion,1,0,0.001856,7,0.208333,0.238095,0
2912465171,Dean Zadok,,technion,1,0,0.001856,7,0.208333,0.238095,0
2913957346,Nir Diamant,,technion,1,0,0.001856,7,0.208333,0.238095,0
2949385226,Amit Aides,,google,1,0,0.001856,7,0.208333,0.238095,0
2025610251,Shachar Fleishman,,intel corporation,2,1,0.003069,5,0.333333,0.364167,700
2230954642,Noa Fish,,school of computer science,9,1,0.014233,6,0.265781,0.337292,674
1093317426,Joel Lanir,,university of haifa,1,1,0.001838,7,0.210526,0.240476,0
2222246929,Shachar Fleishman,,"amazon,",2,1,0.003534,7,0.21164,0.24881,79
2538031590,Rana Hanocka,,school of computer science,1,1,0.001995,8,0.175055,0.196637,0
2659472065,Zhenhua Wang,,hebrew university,1,1,0.001838,7,0.210526,0.240476,0
2721147150,Min Lu,,shenzhen University,1,1,0.001838,7,0.210526,0.240476,0
2890645745,Amir Hertz,,school of computer science,1,1,0.001838,7,0.210526,0.240476,0
2944675959,Hui Huang,,shenzhen University,1,1,0.001838,7,0.210526,0.240476,0
2976423939,Yang Yue,,University of Southern California,1,1,0.001838,7,0.210526,0.240476,0
2977206309,Shuaiqi Wang,,shenzhen University,1,1,0.001838,7,0.210526,0.240476,0
2101516921,Miguel R. D. Rodrigues,,"department of electronic and electrical engineering, university college london, london united kingdom of great britain and northern ireland wc1e 7je (e-mail: m.rodrigues@ucl.ac.uk)",1,2,0.001724,5,0.307692,0.329167,0
2680435554,Tom Tirer,,department of electrical engineering,1,2,0.001724,5,0.307692,0.329167,0
2791543139,Daniel Jakubovitz,,department of electrical engineering,1,2,0.001724,5,0.307692,0.329167,0
2792810102,Sharon Fogel,,department of electrical engineering,2,2,0.003068,5,0.325203,0.351875,511
564112320,Hadar Averbuch-Elor,,department of electrical engineering,4,2,0.006323,6,0.255591,0.295625,455
2023985210,Jacob Goldberger,,"faculty of engineering, bar ilan university",3,2,0.005162,7,0.206186,0.241071,157
2005450025,Hayit Greenspan,,department of biomedical engineering,1,2,0.001956,8,0.171306,0.190982,0
2912183274,Eytan Kats,,department of biomedical engineering,1,2,0.001956,8,0.171306,0.190982,0
2104333588,Ohad Fried,,"stanford university, stanford, usa",2,2,0.003532,7,0.205128,0.232738,79
2230089554,Dov Danon,,school of computer science,1,2,0.001995,8,0.170576,0.187857,0
2954344482,Nadav Bar,,school of computer science,1,2,0.001837,7,0.204082,0.224405,0
2917724466,Amit Alfassy,,technion,1,2,0.001724,5,0.307692,0.329167,0
3002418383,Miguel R. D. Rodrigues,,University College London,1,2,0.001724,5,0.307692,0.329167,0
53636449,Olga Sorkine-Hornung,,eth‐zurich switzerland,1,3,0.001786,6,0.321285,0.387083,0
258463261,Dani Lischinski,,hebrew university of jerusalem,1,3,0.001786,6,0.321285,0.387083,0
601642093,Jessica K. Hodgins,,"carnegie-mellon univ., pittsburgh, pa, usa",1,3,0.001786,6,0.321285,0.387083,0
1974373583,Oliver Van Kaick,,carleton university.,1,3,0.001786,6,0.321285,0.387083,0
2022952815,Yiorgos Chrysanthou,,"university of cyprus and rise research center, nicosia, cyprus",1,3,0.001786,6,0.321285,0.387083,0
2099516509,Kangxue Yin,,simon  fraser university,1,3,0.001786,6,0.321285,0.387083,0
2100045699,Di Lin,,shenzhen University,1,3,0.001786,6,0.321285,0.387083,0
2125685496,Ariel Shamir,,"the interdisciplinary center herzliya, israel",2,3,0.003337,6,0.326531,0.398542,156
2961594172,Yael Newman,,department of electrical engineering,2,3,0.003648,7,0.248447,0.289643,79
2962584599,Jordan Yaniv,,department of electrical engineering,1,3,0.002045,8,0.199501,0.22372,0
2127488609,Edmond S. L. Ho,,"northumbria, university",1,3,0.001786,6,0.321285,0.387083,0
2130270706,Shihao Wu,,eth‐zurich switzerland,1,3,0.001786,6,0.321285,0.387083,0
2135188225,Chi‐Wing Fu,,chinese university hong kong,1,3,0.001786,6,0.321285,0.387083,0
2142962604,Siddhartha Chaudhuri,,adobe research and iit bombay,1,3,0.001786,6,0.321285,0.387083,0
2152875577,Ruizhen Hu,,shenzhen University,1,3,0.001786,6,0.321285,0.387083,0
2154871272,Changhe Tu,,"shandong university, qingdao, china",1,3,0.001786,6,0.321285,0.387083,0
2164878939,Baoquan Chen,,peking university,1,3,0.001786,6,0.321285,0.387083,0
2166341251,Pheng-Ann Heng,,chinese university of hong kong.,1,3,0.001786,6,0.321285,0.387083,0
2204493835,Taku Komura,,"school of informatics, the university of edinburgh, edinburgh, u.k.",1,3,0.001786,6,0.321285,0.387083,0
2225268576,Xuelin Chen,,shandong university,1,3,0.001786,6,0.321285,0.387083,0
2262102887,Andreas Aristidou,,department of computer scienceuniversity of cyprus and rise research center nicosia cyprus,1,3,0.001786,6,0.321285,0.387083,0
2315610610,Hao Zhang,,simon  fraser university,1,3,0.001786,6,0.321285,0.387083,0
2437793022,Jing Liao,,city university of hong kong,1,3,0.001786,6,0.321285,0.387083,0
